$1		7	0.051
$2		1	0.006
$3		5	0.021
$4		9	0.012
$5		9	0.007
$6		10	0.01
$7		4	0.009
$8		1	0.003
$9		8	0.009
$10		2	0.002
$11		5	0.005
$12		5	0.025
$13		8	0.012
$14		4	0.011
$15		5	0.006
$16		2	0.008
$17		2	0.016
$18		5	0.002
$19		3	0.009
$20		2	0.009
$21		4	0.002
$22		16	0.021
$23		2	0.008
$24		4	0.022
$25		4	0.021
$26		4	0.029
$27		4	0.022
$28		3	0.005
$29		1	0.006
$30		3	0.011
$31		3	0.005
$32		5	0.003
$33		5	0.013
$34		2	0.009
$35		4	0.01
$36		5	0.031
$37		3	0.004
$38		5	0.021
$39		5	0.04
$40		3	0.006
$41		4	0.006
$42		5	0.009
$43		10	0.005
$44		10	0.024
$45		6	0.044
$46		6	0.004
$47		5	0.005
$48		4	0.003
$49		4	0.012
$50		5	0.023
$51		5	0.004
$52		6	0.002
$53		3	0.016
$54		9	0.004
$55		1	0.008
$56		5	0.002
$57		5	0.01
$58		6	0.011
$59		10	0.009
$60		8	0.024
$61		5	0.026
$62		4	0.005
$63		4	0.014
$64		4	0.005
$65		7	0.006
$66		7	0.02
$67		4	0.003
$68		3	0.009
$69		16	0.045
$70		4	0.012
$71		4	0.007
$72		7	0.008
$73		4	0.005
$74		3	0.023
$75		3	0.023
$76		8	0.014
$77		6	0.014
$78		6	0.01
$79		5	0.022
$80		4	0.012
$81		6	0.035
$82		2	0.009
$83		5	0.007
$84		7	0.008
$85		7	0.013
$86		5	0.013
$87		6	0.023
$88		4	0.032
$89		2	0.022
$90		4	0.011
$91		8	0.005
$92		7	0.032
$93		3	0.033
$94		6	0.014
$95		1	0.005
$96		6	0.018
$97		3	0.003
$98		3	0.006
$99		10	0.024
$100		9	0.02
$101		4	0.023
$102		6	0.008
$103		7	0.014
$104		4	0.013
$105		10	0.022
$106		5	0.014
$107		5	0.021
$108		4	0.018
$109		4	0.008
$110		3	0.01
$111		4	0.024
$112		7	0.025
$113		8	0.009
$114		8	0.017
$115		7	0.018
$116		4	0.017
$117		10	0.008
$118		7	0.007
$119		4	0.005
$120		11	0.009
$121		4	0.009
$122		3	0.012
$123		8	0.01
$124		7	0.013
$125		4	0.005
$126		1	0.03
$127		6	0.005
$128		6	0.005
$129		6	0.011
$130		8	0.026
$131		3	0.02
$132		6	0.021
$133		4	0.01
$134		4	0.009
$135		6	0.019
$136		6	0.008
$137		4	0.022
$138		5	0.004
$139		6	0.006
$140		9	0.014
$141		7	0.047
$142		5	0.007
$143		8	0.019
$144		10	0.016
$145		7	0.03
$146		12	0.032
$147		2	0.046
$148		9	0.023
$149		5	0.011
$150		3	0.013
$151		9	0.009
$152		7	0.05
$153		9	0.026
$154		7	0.029
$155		8	0.027
$156		3	0.015
$157		4	0.012
$158		9	0.028
$159		6	0.03
$160		5	0.018
$161		5	0.009
$162		5	0.032
$163		15	0.032
$164		23	0.078
$165		1	0.005
$166		4	0.032
$167		3	0.01
$168		3	0.01
$169		4	0.004
$170		4	0.041
$171		7	0.008
$172		5	0.028
$173		4	0.034
$174		4	0.006
$175		4	0.015
$176		7	0.027
$177		7	0.017
$178		5	0.043
$179		3	0.012
$180		6	0.011
$181		9	0.009
$182		8	0.039
$183		22	0.039
$184		5	0.013
$185		4	0.008
$186		9	0.006
$187		28	0.062
$188		5	0.018
$189		1	0.032
$190		7	0.022
$191		8	0.032
$192		3	0.01
$193		6	0.013
$194		7	0.039
$195		3	0.011
$196		3	0.002
$197		4	0.007
$198		5	0.048
$199		2	0.017
$200		7	0.007
$201		4	0.026
$202		8	0.03
$203		5	0.042
$204		8	0.026
$205		8	0.018
$206		11	0.019
$207		13	0.02
$208		2	0.022
$209		2	0.021
$210		6	0.025
$211		10	0.042
$212		2	0.016
$213		2	0.006
$214		3	0.019
$215		2	0.016
$216		9	0.021
$217		5	0.032
$218		6	0.015
$219		24	0.097
$220		8	0.051
$221		15	0.035
$222		4	0.025
$223		3	0.013
$224		8	0.017
$225		8	0.02
$226		10	0.041
$227		2	0.018
$228		8	0.059
$229		16	0.047
$230		5	0.025
$231		4	0.01
$232		3	0.017
$233		9	0.031
$234		7	0.008
$235		2	0.021
$236		16	0.038
$237		6	0.046
$238		5	0.018
$239		4	0.009
$240		7	0.021
$241		3	0.027
$242		19	0.074
$243		4	0.044
$244		7	0.071
$245		23	0.047
$246		10	0.051
$247		39	0.092
$248		13	0.021
$249		33	0.062
$250		75	0.287
$251		14	0.056
$252		5	0.029
$253		20	0.057
$254		3	0.009
$255		22	0.097
$256		4	0.049
$257		6	0.024
$258		9	0.047
$259		3	0.039
$260		4	0.014
$261		8	0.014
$262		40	0.12
